City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lagoa,PT,39.05,-27.9833,72.34,82,47,12.62,scattered clouds
80,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,41,16.51,light rain
81,Tasiilaq,GL,65.6145,-37.6368,39.36,97,100,10.0,light rain
82,Pershotravneve,UA,51.3929,28.8684,54.66,77,89,7.38,light rain
83,Cape Town,ZA,-33.9258,18.4232,59.11,81,75,8.05,light rain
84,Kavieng,PG,-2.5744,150.7967,84.99,64,58,11.18,broken clouds
85,Buta,CD,2.7858,24.73,71.13,97,100,1.66,overcast clouds
86,Bluff,NZ,-46.6,168.3333,46.8,67,60,5.39,broken clouds
87,Souillac,MU,-20.5167,57.5167,75.58,69,75,17.27,broken clouds
88,Lebu,CL,-37.6167,-73.65,45.09,90,100,15.21,overcast clouds
89,La Ronge,CA,55.1001,-105.2842,55.65,71,75,5.75,broken clouds
90,Haines Junction,CA,60.7522,-137.5108,30.15,86,6,0.0,clear sky
91,Tunceli,TR,39.1083,39.5471,81.01,26,0,2.77,clear sky
92,Portland,US,45.5234,-122.6762,60.75,75,75,8.05,broken clouds
93,Victoria,HK,22.2855,114.1577,95.05,69,60,7.0,broken clouds
94,Nome,US,64.5011,-165.4064,50.07,82,100,41.43,light rain
95,Bilibino,RU,68.0546,166.4372,33.73,71,100,11.14,overcast clouds
96,Ushumun,RU,52.7833,126.5333,49.86,82,100,7.38,overcast clouds
97,Ancud,CL,-41.8697,-73.8203,37.22,79,41,6.02,scattered clouds
98,Egvekinot,RU,66.3167,-179.1667,38.66,88,100,19.64,light rain
99,Tuatapere,NZ,-46.1333,167.6833,48.67,72,100,5.59,overcast clouds
100,Puerto Carreno,CO,6.189,-67.4859,73.99,91,100,4.63,heavy intensity rain
101,Bandarbeyla,SO,9.4942,50.8122,83.97,59,53,26.26,broken clouds
102,Ponta Do Sol,PT,32.6667,-17.1,74.71,75,20,10.47,few clouds
103,Saquarema,BR,-22.92,-42.5103,64.47,81,100,8.86,overcast clouds
104,Black River,JM,18.0264,-77.8487,78.15,85,9,4.76,clear sky
105,Cherskiy,RU,68.75,161.3,36.52,70,98,16.91,overcast clouds
106,Mizan Teferi,ET,6.9833,35.5833,67.59,69,87,1.34,overcast clouds
107,Kruisfontein,ZA,-34.0033,24.7314,58.89,78,93,8.63,overcast clouds
108,Kuruman,ZA,-27.4524,23.4325,63.0,38,25,16.13,scattered clouds
109,Toropets,RU,56.4978,31.6353,48.58,78,60,9.93,broken clouds
110,Manama,BH,26.2154,50.5832,96.98,42,0,21.85,clear sky
111,Yanji,CN,42.9075,129.5078,73.13,77,97,1.81,overcast clouds
112,Bredasdorp,ZA,-34.5322,20.0403,56.1,83,86,3.13,overcast clouds
113,Norman Wells,CA,65.282,-126.8329,44.64,93,75,2.3,broken clouds
114,Iqaluit,CA,63.7506,-68.5145,38.93,80,75,2.3,broken clouds
